percent,percentPotential,currency,buySymbol,buyPrice,buyPricePotential,sellSymbol,sellPrice,sellPricePotential,buy_ExtraPercent,sell_ExtraPercent,endTimeOrder,
-0.0922419974391805377720804900%,-0.0922419974391805377720804900%,ltc,buy-ltc_usdt,0.0082476077581370544371152904,0.0082476077581370544371152904,sell-ltc_btc,0.00824000,0.00824000,100.00%,0.00%,30/12/2018 23:43:01,
-0.7078601232070150300449539100%,-0.7078601232070150300449539100%,lun,buy-lun_eth,0.0004211813750000,0.0004211813750000,sell-lun_btc,0.00041820,0.00041820,100.00%,0.00%,30/12/2018 23:43:01,
-0.1880659529965333320681874600%,-0.1880659529965333320681874600%,mana,buy-mana_eth,0.0000123832887500,0.0000123832887500,sell-mana_btc,0.00001236,0.00001236,100.00%,0.00%,30/12/2018 23:43:01,
-0.3848949485828131548630191100%,-0.3848949485828131548630191100%,mco,buy-mco_eth,0.0006173762500000,0.0006173762500000,sell-mco_btc,0.00061500,0.00061500,100.00%,0.00%,30/12/2018 23:43:01,
-0.2896635728125116766239759400%,-0.2896635728125116766239759400%,mda,buy-mda_eth,0.0002100885500000,0.0002100885500000,sell-mda_btc,0.00020948,0.00020948,100.00%,0.00%,30/12/2018 23:43:01,
-0.8610284058903999356240444200%,-0.8610284058903999356240444200%,mft,buy-mft_eth,0.0000007766875000,0.0000007766875000,sell-mft_btc,0.00000077,0.00000077,100.00%,0.00%,30/12/2018 23:43:01,
-0.5260640841702534672405547600%,-0.5260640841702534672405547600%,mod,buy-mod_eth,0.0000888675000000,0.0000888675000000,sell-mod_btc,0.00008840,0.00008840,100.00%,0.00%,30/12/2018 23:43:01,
-0.2607505643340857787810383700%,-0.2607505643340857787810383700%,mth,buy-mth_btc,0.00000443,0.00000443,sell-mth_eth,0.0000044184487500,0.0000044184487500,100.00%,0.00%,30/12/2018 23:43:01,
-0.380907012195121951219512200%,-0.380907012195121951219512200%,mtl,buy-mtl_btc,0.00006560,0.00006560,sell-mtl_eth,0.0000653501250000,0.0000653501250000,100.00%,0.00%,30/12/2018 23:43:01,
-0.0844236158034145895917237600%,-0.0844236158034145895917237600%,nano,buy-nano_eth,0.0002477091250000,0.0002477091250000,sell-nano_btc,0.00024750,0.00024750,100.00%,0.00%,30/12/2018 23:43:01,
-0.385619024490597732690067800%,-0.385619024490597732690067800%,nas,buy-nas_eth,0.0001616232500000,0.0001616232500000,sell-nas_btc,0.00016100,0.00016100,100.00%,0.00%,30/12/2018 23:43:01,
-0.270834962019921201911801400%,-0.270834962019921201911801400%,nav,buy-nav_bnb,0.0000448213920000,0.0000448213920000,sell-nav_btc,0.00004470,0.00004470,100.00%,0.00%,30/12/2018 23:43:01,
-0.7645819979855324603973995100%,-0.7645819979855324603973995100%,ncash,buy-ncash_bnb,0.0000005045502000,0.0000005045502000,sell-ncash_eth,0.0000005006925000,0.0000005006925000,100.00%,0.00%,30/12/2018 23:43:01,
-0.4349222952779438135086670700%,-0.4349222952779438135086670700%,nebl,buy-nebl_btc,0.00033460,0.00033460,sell-nebl_eth,0.0003331447500000,0.0003331447500000,100.00%,0.00%,30/12/2018 23:43:01,
-0.0758864214812929498600105800%,-0.0758864214812929498600105800%,neo,buy-neo_usdt,0.0020745743202125791858787437,0.0020745743202125791858787437,sell-neo_btc,0.00207300,0.00207300,100.00%,0.00%,30/12/2018 23:43:01,
-2.7403846153846153846153846200%,-2.7403846153846153846153846200%,npxs,buy-npxs_btc,0.00000013,0.00000013,sell-npxs_eth,0.0000001264375000,0.0000001264375000,0.00%,0.00%,30/12/2018 23:43:01,
